,Unnamed: 0,Type,ComplexID,ID,Name,Street,District,Date,Discount,URL,FullName,Rooms,MaxTotalArea,MaxPPSM,MaxTotalPrice,MinTotalArea,MinPPSM,MinTotalPrice,TotalArea,TotalPrice,PPSM,Location
17,177,noflat,211,219,,"вул.Феодосійська,2-л Знижка — 20%",Голосіївський р-н,,20%,https://kmb.ua/objects/350-zhk-vul-feodosijska-2/," вул.Феодосійська,2-л Знижка — 20%",нежитлові приміщення функціональним призначенням,107.9,27820.0,2805400.0,47.9,26000.0,1245400.0,47.9-107.9 кв м.,1.25-2.81 млн. грн.,,"50.4126738, 30.4833186"
18,178,noflat,212,220,,"пр. Валерія Лобановського, буд. 4-Ж",Солом'янський р-н,,20%,https://kmb.ua/objects/332-prosp-chervonozoryanij-4-a/," пр. Валерія Лобановського, буд. 4-Ж",Офісне приміщення,114.9,24500.0,2815050.0,114.9,24500.0,2815050.0,114.9-114.9 кв м.,2.82-2.82 млн. грн.,,"50.4070124, 30.5085883"
19,179,noflat,213,221,,"пр. Червонозоряний, 150",Солом'янський р-н,,0%,https://kmb.ua/objects/33-zhk-prosp-chervonozoryanij-150-162/," пр. Червонозоряний, 150",творча майстергня,238.2,19500.0,4644900.0,238.2,19500.0,4644900.0,238.2-238.2 кв м.,4.64-4.64 млн. грн.,,"50.5259807, 30.6187994"
20,181,noflat,214,222,,"Маяковського, 91 в (буд №89-95)",Деснянський р-н,,20%,https://kmb.ua/objects/97-tts-prosp-mayakovskogo-89-95/," Маяковського, 91 в (буд №89-95)",Торг. приміщ. Салон краси. Продовольчий магазин. Офіс,1023.8,24816.0,24000000.0,44.0,18800.0,853520.0,44-1023.8 кв м.,0.85-24.0 млн. грн.,,"50.493769, 30.446913"
21,184,noflat,214,223,,"вул. Білицька, 20",Подільський р-н,,20%,https://kmb.ua/objects/96-zhk-vul-bilitska-20/," вул. Білицька, 20",Нежитлові приміщення,109.8,18750.0,2058750.0,64.8,18750.0,1209375.0,64.8-109.8 кв м.,1.21-2.06 млн. грн.,,"50.43354739999999, 30.6410405"
22,197,noflat,222,232,ЖК — Хорольска,"вул. Хорольська, 1-А  ",Дніпровський р-н,,20%,https://kmb.ua/objects/113-zhk-vul-khorolska-1-a/,"ЖК — Хорольска вул. Хорольська, 1-А  ",Нежитлове приміщення,120.5,18800.0,2265400.0,120.4,18800.0,2263520.0,120.4-120.5 кв м.,2.26-2.27 млн. грн.,,"50.4335474, 30.6388518"
23,199,noflat,224,234,,"Харківське шосе, 182",Дніпровський р-н,,20%,," Харківське шосе, 182","Нежитлове приміщення, офісне приміщення.",115.3,25000.0,2882500.0,56.9,25000.0,1422500.0,56.9-115.3 кв м.,1.42-2.88 млн. грн.,,"50.4060155, 30.67704759999999"
24,200,noflat,225,235,,"вул. Івана Микитенка, 9-Б ",Дніпровський р-н,,20%,," вул. Івана Микитенка, 9-Б ",Нежитлова будівля (склад),377.8,10000.0,3778000.0,377.8,10000.0,3778000.0,377.8-377.8 кв м.,3.78-3.78 млн. грн.,,"50.4864471, 30.5988936"
25,14,flat,7,8,ЖК — Глушкова,"просп. Академіка_x000D_
Глушкова, 92-Б,_x000D_
ж/б №1_x000D_
(просп. Глушкова 9-В)_x000D_
",Голосіївський р-н,введений,5%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/,"ЖК — Глушкова (просп. Академіка_x000D_
Глушкова, 92-Б,_x000D_
ж/б №1_x000D_
(просп. Глушкова 9-В)_x000D_
)",2 комнаты,89.3,21908.0,1956384.0,83.3,21907.0,1824853.0,83.3-89.3 кв м.,1.82-1.96 млн. грн.,21.9-21.9 тис. грн.,"50.3701201, 30.4669792"
26,15,flat,7,8,ЖК — Глушкова,"просп. Академіка_x000D_
Глушкова, 92-Б,_x000D_
ж/б №1_x000D_
(просп. Глушкова 9-В)_x000D_
",Голосіївський р-н,введений,5%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/,"ЖК — Глушкова (просп. Академіка_x000D_
Глушкова, 92-Б,_x000D_
ж/б №1_x000D_
(просп. Глушкова 9-В)_x000D_
)",5 комнат,217.3,18960.0,3964639.0,205.2,17887.0,3670412.0,205.2-217.3 кв м.,3.67-3.96 млн. грн.,17.9-19.0 тис. грн.,"50.3701201, 30.4669792"
27,16,flat,7,9,ЖК — Глушкова,"просп. Академіка_x000D_
Глушкова, 92-Б,_x000D_
ж/б №3_x000D_
(просп. Глушкова 9-Г)_x000D_
",Голосіївський р-н,введений,5%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/,"ЖК — Глушкова (просп. Академіка_x000D_
Глушкова, 92-Б,_x000D_
ж/б №3_x000D_
(просп. Глушкова 9-Г)_x000D_
)",2 комнаты,100.4,20859.0,2094244.0,100.4,20859.0,2094244.0,100.4-100.4 кв м.,2.09-2.09 млн. грн.,20.9-20.9 тис. грн.,"50.3701201, 30.4669792"
28,165,noflat,7,8,ЖК — Глушкова,"просп. Ак.Глушкова, 92-Б, ж/б №1",Голосіївський р-н,,20%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/?type=2,"ЖК — Глушкова просп. Ак.Глушкова, 92-Б, ж/б №1",нежитлові приміщення,117.3,31250.0,3665625.0,62.6,31250.0,1956250.0,62.6-117.3 кв м.,1.96-3.67 млн. грн.,,"50.3701201, 30.4669792"
29,166,noflat,7,8,ЖК — Глушкова,"просп. Ак.Глушкова, 92-Б, ж/б №1",Голосіївський р-н,,20%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/?type=2,"ЖК — Глушкова просп. Ак.Глушкова, 92-Б, ж/б №1",Творчі майстерні,126.4,18000.0,2275200.0,52.3,18000.0,941400.0,52.3-126.4 кв м.,0.94-2.28 млн. грн.,,"50.3701201, 30.4669792"
30,167,noflat,7,8,ЖК — Глушкова,"просп. Ак.Глушкова, 92-Б, ж/б №2",Голосіївський р-н,,20%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/?type=2,"ЖК — Глушкова просп. Ак.Глушкова, 92-Б, ж/б №2",приміщення для зберігання велосипедів,48.6,17500.0,850500.0,48.1,17500.0,841750.0,48.1-48.6 кв м.,0.84-0.85 млн. грн.,,"50.3701201, 30.4669792"
31,168,noflat,7,8,ЖК — Глушкова,"просп. Ак.Глушкова, 92-Б, ж/б №2",Голосіївський р-н,,20%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/?type=2,"ЖК — Глушкова просп. Ак.Глушкова, 92-Б, ж/б №2",Творчі майстерні,60.2,19200.0,1083600.0,59.1,19200.0,1063800.0,59.1-60.2 кв м.,1.06-1.08 млн. грн.,,"50.3701201, 30.4669792"
32,169,noflat,7,8,ЖК — Глушкова,"просп. Ак.Глушкова, 92-Б, ж/б №2",Голосіївський р-н,,20%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/?type=2,"ЖК — Глушкова просп. Ак.Глушкова, 92-Б, ж/б №2",офіси,74.8,31250.0,2337500.0,74.2,31250.0,2318750.0,74.2-74.8 кв м.,2.32-2.34 млн. грн.,,"50.3701201, 30.4669792"
33,170,noflat,7,8,ЖК — Глушкова,"просп. Ак.Глушкова, 92-Б, ж/б №3",Голосіївський р-н,,20%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/?type=2,"ЖК — Глушкова просп. Ак.Глушкова, 92-Б, ж/б №3","приміщення із функціональним призначенням, офіс",130.9,34375.0,4499687.5,61.9,31250.0,1934375.0,61.9-130.9 кв м.,1.93-4.5 млн. грн.,,"50.3701201, 30.4669792"
34,131,car,106,110,"пр. Академіка Глушкова, 92-б (ж/б №1)","пр. Академіка Глушкова, 92-Б",Голосіївський р-н,введений,-30%,https://kmb.ua/objects/9-zhk-prosp-akademika-glushkova-92-b/,"пр. Академіка Глушкова, 92-б (ж/б №1) пр. Академіка Глушкова, 92-Б",,,,9999999.0,,,296000.0,,0.3-10.0 млн. грн.,,"50.38157349999999, 30.48172559999999"
35,11,flat,6,7,ЖК — Світло парк,Наддніпрянське шосе.  2-А Буд. 1-3,Голосіївський р-н,12.2019,,https://kmb.ua/objects/458-zhk-svitlo-park/,ЖК — Світло парк (Наддніпрянське шосе.  2-А Буд. 1-3),1 комната,46.46,17669.0,820902.0,40.64,17669.0,718068.0,40.64-46.46 кв м.,0.72-0.82 млн. грн.,17.7-17.7 тис. грн.,"50.39351139999999, 30.5578842"
36,12,flat,6,7,ЖК — Світло парк,Наддніпрянське шосе.  2-А Буд. 1-3,Голосіївський р-н,12.2019,,https://kmb.ua/objects/458-zhk-svitlo-park/,ЖК — Світло парк (Наддніпрянське шосе.  2-А Буд. 1-3),2 комнаты,66.11,17138.0,1132993.0,65.24,17138.0,1118083.0,65.24-66.11 кв м.,1.12-1.13 млн. грн.,17.1-17.1 тис. грн.,"50.39351139999999, 30.5578842"
37,13,flat,6,7,ЖК — Світло парк,Наддніпрянське шосе.  2-А Буд. 1-3,Голосіївський р-н,12.2019,,https://kmb.ua/objects/458-zhk-svitlo-park/,ЖК — Світло парк (Наддніпрянське шосе.  2-А Буд. 1-3),3 комнаты,79.14,16606.0,1314199.0,79.14,16606.0,1314199.0,79.14-79.14 кв м.,1.31-1.31 млн. грн.,16.6-16.6 тис. грн.,"50.39351139999999, 30.5578842"
38,148,car,123,127,ЖК — ЗАРІЧНИЙ,"пр-т М.Бажана та вул. Зарічна будинки №1,2,3,4",Дарницький р-н,введений,,https://kmb.ua/objects/10-zhk-zarichnij/?type=4,"ЖК — ЗАРІЧНИЙ пр-т М.Бажана та вул. Зарічна будинки №1,2,3,4",,,,9999999.0,,,413400.0,,0.41-10.0 млн. грн.,,"50.3954517, 30.6011386"
39,159,noflat,204,207,ЖК — ЗАРІЧНИЙ,"пр-т М.Бажана та вул. Зарічна будинки №1,2,3,4",Дарницький р-н,,20%,https://kmb.ua/objects/10-zhk-zarichnij/?type=2,"ЖК — ЗАРІЧНИЙ пр-т М.Бажана та вул. Зарічна будинки №1,2,3,4",Нежитлові приміщення,196.2,32419.0,6248970.0,77.3,30875.0,2505969.0,77.3-196.2 кв м.,2.51-6.25 млн. грн.,,"50.3954517, 30.6011386"
40,146,car,121,125,"пр-т Бажана, 16-А","пр-т Бажана, 10-16",Дарницький р-н,введений,-35%,https://kmb.ua/objects/247-prosp-bazhana-16-a-10-16/,"пр-т Бажана, 16-А пр-т Бажана, 10-16",,,,9999999.0,,,200000.0,,0.2-10.0 млн. грн.,,"50.3958209, 30.6261235"
41,141,car,116,120,"вул. Мишуги, 8-а","Осокорки, 9-А, паркінг №15",Дарницький р-н,введений,-15%,https://kmb.ua/objects/117-vul-mishugi-8-a/,"вул. Мишуги, 8-а Осокорки, 9-А, паркінг №15",,,,9999999.0,,,187000.0,,0.19-10.0 млн. грн.,,"50.39670899999999, 30.6371422"
42,133,car,108,112,"вул. Козацька, 114","вул. Козацька, 112-114",Голосіївський р-н,введений,-20%,https://kmb.ua/objects/129-vul-kozatska-114/,"вул. Козацька, 114 вул. Козацька, 112-114",,,,9999999.0,,,80000.0,,0.08-10.0 млн. грн.,,"50.3983166, 30.4979647"
43,144,car,119,123,"вул.Срібнокільска, 2-А","Позняки-10, діл. «Д»",Дарницький р-н,введений,-25%,https://kmb.ua/objects/248-vul-sribnokilska-2-a/,"вул.Срібнокільска, 2-А Позняки-10, діл. «Д»",,,,9999999.0,,,181500.0,,0.18-10.0 млн. грн.,,"50.4001415, 30.6284057"
